PROJECT_ID,PROJECT_NAME,PROJECT_NAME_SHORT,COUNTRY,REGION,Project Period START_DT,Project Period END_DT,Agreement_Start_Date,Agreement_End_Date,PROPOSAL STATUS,DONOR RECEIVING PROPOSAL,DATE SUBMITTED TO DONOR,STATUS (PMD Pro),STAFFING_LEVEL,TARGET_Direct_BENEF_LOP,Actual_Direct_Beneficiaries_LOP,SECTOR_PRIMARY,SECTOR_SECONDARY,Project_Implementation,Expr2,Date_Proposal_Accepted_or_Rejected,Target_Indirect_Beneficiaries_LOP,Target_Direct_Beneficiaries_FY13,Actual_Direct_Beneficiaries_FY13,TOTAL LOP BUDGET,FUNDING_SOURCE 1,Funding Source 1 Amount,FUNDING_SOURCE 2,Funding Source 2 Amount,FUNDING SOURCE 3,Funding Source 3 Amount,FUNDING_SOURCE_NOTES,QPR REQUIRED?,PROJ_DESCR_UPDATED,Notes
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,
65139595,Resilience in the Americas (Peru),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,
160,Social Mobilization (Namibia),Soc Mob (Namibia),NAMIBIA,Africa,01-May-12,31-Aug-12,29-Jun-12,30-Dec-12,Submitted-accepted,ARC - SIF,08-Jun-12,Closed,Field Visits,"148,350.00",,Measles,,HNS,,29-Jun-12,,,,"$92,741.00",ARC (SIF),"$92,741.00",,,,,Grant letter funded,FALSE,TRUE,
162,Social Mobilization (Kenya),Soc Mob (Kenya),KENYA,Africa,31-Aug-12,31-Oct-12,11-Sep-12,31-Jan-13,Submitted-accepted,ARCT and ARC SIF,14-Aug-12,Closed,Intl Staff Presence,"6,658,778.00",,Measles,,HNS,,11-Sep-12,,,,"$380,207.00",ARCT,"$266,145.00",ARC (SIF),"$114,062.00",,,"70% ARCT, 30% SIF",FALSE,TRUE,
163,Social Mobilization (Cameroon),Soc Mob (Cameroon),CAMEROON,Africa,01-May-12,31-Jul-12,11-Jun-12,31-Oct-12,Submitted-accepted,ARC-SIF,11-Jun-12,Closed,Field Visits,"2,012,777.00",,Measles,,HNS,,,,,,"$29,223.90",ARC (SIF),"$29,223.90",,,,,PMN,FALSE,TRUE,
164,Social Mobilization (Burundi),Soc Mob (Burundi),BURUNDI,Africa,01-May-12,31-Jul-12,08-Jun-12,30-Nov-12,Submitted-accepted,,23-Feb-12,Closed,Field Visits,"153,354.00",,Measles,,HNS,,08-Jun-12,,,,"$154,546.00",ARC (SIF),"$154,546.00",,,,,Grant letter funded,FALSE,FALSE,
16,"HIV Prevention, Care and Support",HIV - China,CHINA,Asia,01-May-10,31-Dec-12,,,,,,Closed,Intl Staff Presence,"127,792.00",,Community Health - HIV,,HNS,,,,,,"$549,364.00",ARC (Restricted Funding),"$549,364.00",,,,,,TRUE,FALSE,
20,Regional Humanitarian Action for Refugee and Displaced Populations of the Colombia Conflict and their Host Communities,Refugee/IDP Care - Colombia/Panama,COLOMBIA,LAC,01-Sep-11,30-Sep-12,,,Submitted-accepted,ARC/SIF,01-Jun-11,Closed,Intl Staff Presence,"10,000.00",,DM - Response,Refugee Care,,,,,,,"$246,750.00",ARC (SIF),"$246,750.00",,,,,,FALSE,FALSE,
21,Latin America Risk Reduction Activities,DP - LARRA,COSTA RICA,LAC,10-Sep-10,15-Nov-12,,,,,,Closed,Field Visits,"38,116.00",,DM - Preparedness/DRR,,,,,,,,"$4,700,000.00",ARC (SIF),"$3,200,000.00",Other Private External,"$1,500,000.00",,,"1,500,000 in funding provided by Merck.",FALSE,FALSE,
27,Latin America Risk Reduction Activities,DP - LARRA,EL SALVADOR,LAC,09-Sep-09,01-Sep-12,,,,,,Closed,Field Visits,"58,785.00",,DM - Preparedness/DRR,,,,,,,,"$4,700,000.00",ARC (SIF),"$3,200,000.00",Other Private External,"$1,500,000.00",,,"1,500,000 funding provided from Merck.",TRUE,FALSE,
57,Kenya Integrated HIV/AIDS,KY IHIV,KENYA,Africa,01-Jan-09,30-Sep-12,23-Jan-09,31-Dec-12,Submitted-accepted,,,Closed,Intl Staff Presence,"16,387.00",,Community Health - HIV,,HNS,,23-Jan-09,39756,,,"$2,048,975.00",ARC (SIF),"$2,048,975.00",,,,,,TRUE,TRUE,"indirect 39,756"
