Admin_0,Admin_1,Admin_2,Admin_3,Project,Community,Lat,Long
Colombia,Guajira,Las Lomas,N/A,RITA,Las Lomas,12.310486,-71.796083
Colombia,Guajira,Riohacha,N/A,RITA,Barrio Boca Grande (Comuna 7),11.544932,-72.92228
Colombia,Guajira,Riohacha,N/A,RITA,José Antonio Galan (Comuna 3),11.544932,-72.92228
Colombia,Guajira,Riohacha,N/A,RITA,Nuevo Milenio (Comuna 10),11.544932,-72.92228
Colombia,Guajira,Riohacha,N/A,RITA,Villa Keyner,11.544932,-72.92228
Colombia,Santander,Bucaramanga,N/A,RITA,La Malaña (Comuna 14),7.11636,-73.11745
Colombia,Santander,Rio Negro,N/A,RITA,San Rafael de Lebrija,7.26401,-73.14972
Colombia,Santander,Rio Negro,N/A,RITA,Caserío El Papayal,7.26401,-73.14972
Colombia,Santander,Rio Negro,N/A,RITA,La Valvula,7.26401,-73.14972
Colombia,Santander,Rio Negro,N/A,RITA,San José de los Chorros,7.26401,-73.14972
Colombia,Quindio,Armenia,N/A,LARRA II,Barrio La Patria,4.5409,-75.6668
Colombia,Quindio,Armenia,N/A,LARRA II,Barrio La Facada,4.5409,-75.6668
Colombia,Quindio,Armenia,N/A,LARRA II,San Juan,4.5409,-75.6668
Colombia,Quindio,Armenia,N/A,LARRA II,Armenia ciudad,4.5409,-75.6668
Colombia,Quindio,Calarca,N/A,LARRA II,Barrio Manantial,4.52857,-75.63998
Colombia,Quindio,Calarca,N/A,LARRA II,Barrios Versalles y Villa Italia,4.52857,-75.63998
Colombia,Quindio,Calarca,N/A,LARRA II,Corregimiento La Virginia,4.52857,-75.63998
Colombia,Quindio,Calarca,N/A,LARRA II,Sector La Linea y San Rafael,4.52857,-75.63998
Colombia,Quindio,Calarca,N/A,LARRA II,Veredas Quebrada Negra y Vista Hermosa,4.52857,-75.63998
Colombia,Quindio,Calarca,N/A,LARRA II,Calarca ciudad,4.529324,-75.640146
Colombia,Quindio,Cordoba,N/A,LARRA II,Barrios El Ensueño y Villa Teresa,4.3905,-75.686
Colombia,Quindio,Cordoba,N/A,LARRA II,Veredas Guayaquil Alto y Bajo,4.3905,-75.686
Colombia,Quindio,Cordoba,N/A,LARRA II,Vereda Las Auras,4.3905,-75.686
Colombia,Quindio,Cordoba,N/A,LARRA II,Vereda Media Cara,4.3905,-75.686
