NO,WARD,COMMUNITY,LAT,LONG
1,Siachilaba,Sianoti/Kasikili,-17.90574,27.2148
2,Siachilaba,Sianoti/Kasikili,-17.90506,27.21778
3,Siachilaba,Sianoti/Kasikili,-17.90924,27.22106
4,Siachilaba,Sianoti/Kasikili,-17.90039,27.26174
5,Simatelele,Zingozo,-17.79994,27.27293
6,Simatelele,Zingozo,-17.78599,27.26267
7,Simatelele,Zingozo,-17.79219,27.27299
8,Simatelele,Chileya,-17.81308,27.25354
9,Simatelele,Chileya,-17.80923,27.25298
10,Simatelele,Chileya,-17.80944,27.253
11,Simatelele,Chileya,-17.81087,27.25279
12,Simatelele,Siamuloba,-17.84969,27.19931
13,Simatelele,Siamuloba,-17.84983,27.19947
14,Simatelele,Siamuloba,-17.86257,27.19038
15,Siachilaba,Siansise/Binga 40,-17.89126,27.32694
16,Siachilaba,Siansise/Binga 40,-17.9213,27.32609
17,Siachilaba,Siansise/Binga 40,-17.90052,27.29967
18,Siachilaba,Siansise/Binga 40,-17.90364,27.30235
19,Siachilaba,Siansise/Binga 40,-17.83404,27.35044
20,Siachilaba,Siansise/Binga 40,-17.83932,27.3603
21,Siachilaba,Siansise/Binga 40,-17.83936,27.36012
22,Siachilaba,Siantungwana/Chumpamanda,-17.97028,27.26209
23,Siachilaba,Siantungwana/Chumpamanda,-17.97053,27.26221
24,Siachilaba,Siantungwana/Chumpamanda,-17.97088,27.26201
25,Siachilaba,Siantungwana/Chumpamanda,-17.97203,27.26212
26,Siachilaba,Siantungwana/Chumpamanda,-17.97214,27.26024
27,Siachilaba,Siantungwana/Chumpamanda,-17.97228,27.25984
28,Siachilaba,Siantungwana/Chumpamanda,-17.9724,27.25995
29,Siachilaba,Siantungwana/Chumpamanda,-17.97268,27.25935
30,Siachilaba,Siantungwana/Chumpamanda,-17.97094,27.26102
31,Siachilaba,Siantungwana/Chumpamanda,-17.9709,27.26105
32,Siachilaba,Siantungwana/Chumpamanda,-17.96906,27.26258
33,Siachilaba,Siantungwana/Chumpamanda,-17.96909,27.26233
34,Siachilaba,Siantungwana/Chumpamanda,-17.96881,27.26228
35,Siachilaba,Siantungwana/Chumpamanda,-17.96811,27.26332
36,Siachilaba,Siantungwana/Chumpamanda,-17.96822,27.2632
37,Siachilaba,Siantungwana/Chumpamanda,-17.96575,27.26444
38,Siachilaba,Siantungwana/Chumpamanda,-17.9162,27.29115
39,Siachilaba,Siantungwana/Chumpamanda,-17.91622,27.29096
40,Siachilaba,Siantungwana/Chumpamanda,-17.91597,27.29132
41,Siachilaba,Siantungwana/Chumpamanda,-17.92154,27.29273
42,Siachilaba,Siantungwana/Chumpamanda,-17.921,27.29201
43,Siachilaba,Siantungwana/Chumpamanda,-17.92268,27.29145
44,Siachilaba,Siantungwana/Chumpamanda,-17.92318,27.29108
45,Siachilaba,Siantungwana/Chumpamanda,-17.92818,27.29046
46,Siachilaba,Siantungwana/Chumpamanda,-17.93042,27.28971
47,Siachilaba,Siantungwana/Chumpamanda,-17.93271,27.28842
48,Siachilaba,Siantungwana/Chumpamanda,-17.92906,27.28863
49,Siachilaba,Siantungwana/Chumpamanda,-17.92905,27.28881
50,Siachilaba,Siantungwana/Chumpamanda,-17.92748,27.28781
51,Siachilaba,Siantungwana/Chumpamanda,-17.92163,27.28901
52,Siachilaba,Siantungwana/Chumpamanda,-17.92147,27.28894
53,Siachilaba,Siantungwana/Chumpamanda,-17.91947,27.28404
54,Siachilaba,Siantungwana/Chumpamanda,-17.91991,27.28488
55,Siachilaba,Siantungwana/Chumpamanda,-17.96605,27.26705
56,Siachilaba,Siantungwana/Chumpamanda,-17.96605,27.26716
57,Siachilaba,Siantungwana/Chumpamanda,-17.96587,27.26717
58,Siachilaba,Siantungwana/Chumpamanda,-17.96581,27.26726
59,Siachilaba,Siamwinde 1 & 2,-17.90717,27.29488
60,Siachilaba,Siamwinde 1 & 2,-17.90711,27.29503
61,Siachilaba,Siamwinde 1 & 2,-17.90007,27.28472
62,Siachilaba,Siamwinde 1 & 2,-17.91013,27.29427
63,Siachilaba,Siamwinde 1 & 2,-17.91016,27.29399
64,Siachilaba,Siamwinde 1 & 2,-17.90578,27.29419
65,Siachilaba,Siamwinde 1 & 2,-17.90401,27.29222
66,Siachilaba,Siamwinde 1 & 2,-17.90828,27.27804
67,Siachilaba,Siamwinde 1 & 2,-17.9101,27.27593
68,Siachilaba,Siamwinde 1 & 2,-17.90997,27.27603
69,Siachilaba,Siamwinde 1 & 2,-17.90981,27.27596
70,Siachilaba,Siamwinde 1 & 2,-17.90925,27.27164
71,Siachilaba,Siamwinde 1 & 2,-17.90879,27.2721
72,Siachilaba,Siamwinde 1 & 2,-17.91006,27.27296
73,Siachilaba,Siamwinde 1 & 2,-17.91101,27.27437
74,Siachilaba,Siamwinde 1 & 2,-17.9115,27.27476
75,Siachilaba,Siamwinde 1 & 2,-17.91169,27.27688
76,Siachilaba,Siamwinde 1 & 2,-17.91143,27.27756
77,Siachilaba,Siamwinde 1 & 2,-17.91255,27.27833
78,Siachilaba,Siamwinde 1 & 2,-17.91547,27.27839
79,Siachilaba,Siamwinde 1 & 2,-17.92249,27.27773
80,Siachilaba,Siamwinde 1 & 2,-17.92296,27.27766
81,Siachilaba,Siamwinde 1 & 2,-17.92297,27.2783
82,Siachilaba,Siamwinde 1 & 2,-17.92383,27.2806
83,Siachilaba,Siamwinde 1 & 2,-17.92436,27.28021
84,Siachilaba,Siamwinde 1 & 2,-17.92555,27.2815
85,Siachilaba,Siamwinde 1 & 2,-17.92704,27.28007
86,Siachilaba,Siamwinde 1 & 2,-17.92689,27.27807
87,Siachilaba,Siamwinde 1 & 2,-17.92708,27.27806
88,Siachilaba,Siamwinde 1 & 2,-17.92704,27.27805
90,Siachilaba,Siamwinde 1 & 2,-17.92382,27.27179
91,Siachilaba,Siamwinde 1 & 2,-17.9224,27.27057
92,Siachilaba,Siamwinde 1 & 2,-17.92263,27.27321
93,Siachilaba,Siamwinde 1 & 2,-17.90276,27.28475
94,Siachilaba,Siamwinde 1 & 2,-17.9299,27.28113
